<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSI;10;29/05/20;17:30;1217.2800000;1218.9000000;1216.4600000;1216.9000000;26866758
RTSI;10;29/05/20;17:40;1216.8300000;1218.1700000;1215.1800000;1215.1800000;32843677
RTSI;10;29/05/20;17:50;1215.1800000;1216.9100000;1214.7600000;1216.7400000;31650006
RTSI;10;29/05/20;18:00;1216.7200000;1218.0400000;1215.8400000;1216.0600000;36259612
RTSI;10;29/05/20;18:10;1215.9800000;1220.7000000;1215.9400000;1218.4700000;43220156
RTSI;10;29/05/20;18:20;1218.4500000;1220.0500000;1217.6300000;1218.8600000;51630064
RTSI;10;29/05/20;18:30;1218.8200000;1219.5000000;1215.7300000;1218.3500000;79751022
RTSI;10;29/05/20;18:40;1218.3600000;1218.3600000;1218.3600000;1218.3600000;5756
RTSI;10;29/05/20;18:50;1219.7600000;1219.7600000;1219.7600000;1219.7600000;770880254
RTSI;10;01/06/20;10:00;1240.0800000;1252.9200000;1239.3200000;1249.3900000;112338177
RTSI;10;01/06/20;10:10;1249.8800000;1249.8800000;1242.3600000;1245.5500000;56176591
RTSI;10;01/06/20;10:20;1245.4600000;1249.6100000;1245.3800000;1247.7000000;33023887
RTSI;10;01/06/20;10:30;1247.6000000;1248.7700000;1245.1000000;1246.0200000;26412987
RTSI;10;01/06/20;10:40;1246.1100000;1252.9200000;1246.0100000;1252.9100000;37443235
RTSI;10;01/06/20;10:50;1252.9200000;1253.9100000;1251.0800000;1252.5800000;30573523
RTSI;10;01/06/20;11:00;1252.5800000;1252.9900000;1244.8700000;1245.8000000;41063657
RTSI;10;01/06/20;11:10;1245.7900000;1245.7900000;1237.7100000;1239.1000000;48981394
RTSI;10;01/06/20;11:20;1238.9600000;1240.5000000;1234.2300000;1239.8000000;42899157
